Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
Audi A1 Sportback SE 1.0 Petrol 115 bhp With 17 0,"€25,950",Audi,A1,SE,Luxury Trim,2019,"17,556 km",Petrol,Manual,Hatchback,1.0 litre,116hp,9.5 sec,5,4,Grey,Ireland,2,200,Jan 2023,---,Available,,,,
191 Ford Transit Connect Trend SWB 1.5 TD,"€17,250",Ford,Transit Connect,,,2019,"123,254 km",Diesel,Manual,Panel Van,1.5 litre,,,3,,,,,,,,,,,,
151 Mitsubishi ASX-3 1.6 Petrol - Low Mileage,"€13,750",Mitsubishi,ASX,Instyle,Luxury Trim,2015,"52,237 mi",Petrol,Manual,SUV,1.6 litre,117hp,11.4 sec,5,5,Brown,Ireland,---,280,May 2023,5/5,Available,,,,
Toyota RAV4 XTR 4wd,"€3,750",Toyota,RAV4,,,2009,206 mi,Diesel,---,SUV,2.2 litre,,,5,---,Silver,Ireland,5,750,May 2023,,,,,,
Stunning bmw 5 series m-sport for sale,"€22,000",BMW,5-Series,M SPORT,Sports Trim,2016,"114,363 mi",Diesel,Automatic,Saloon,2.0 litre,190hp,7.7 sec,5,4,Black,Ireland,2,200,Jul 2024,---,,,,,
2012 Volkswagen Passat - 2.0 TDI - Long NCT,"€7,250",Volkswagen,Passat,COMFORTLINE,Medium Trim,2012,"165,000 mi",Diesel,Manual,Saloon,2.0 litre,140hp,9.8 sec,5,4,Grey,Ireland,---,200,Dec 2023,5/5,,,,,
2016 Volkswagen Jetta 2.0 Diesel Manual,"€14,450",Volkswagen,Jetta,Comfortline,Medium Trim,2016,"99,000 mi",Diesel,Manual,Saloon,2.0 litre,110hp,11.0 sec,5,4,Black,Ireland,1,190,Jun 2024,---,3 Month,,,,
162 Volkswagen Polo 1.0 Trendline - Low Kms,"€12,950",Volkswagen,Polo,Trendline,Base Trim,2016,"68,283 km",Petrol,Manual,Hatchback,1.0 litre,60hp,15.5 sec,5,5,Silver,Ireland,3,190,Nov 2022,---,Available,,,,
192 Volkswagen Transporter 2.0 TDI LWB - Low Kms,"€26,750",Volkswagen,Transporter,,,2019,"38,769 km",Diesel,Manual,Panel Van,2.0 litre,,,3,,,,,,,,,,,,
Volkswagen Polo Comfortline 1.2 TSI 90hp D7F 5DR,"€12,950",Volkswagen,Polo,Comfortline +,Medium Trim,2014,"116,848 km",Petrol,Automatic,Hatchback,1.2 litre,90hp,11.4 sec,5,5,White,Ireland,1,180,---,5/5,,,,,
181 Volkswagen Passat GT TDI - Huge Spec,"€21,950",Volkswagen,Passat,BLUEMOTION,Base Trim,2018,"176,706 km",Diesel,Manual,Saloon,1.6 litre,105hp,12.2 sec,5,4,Black,Ireland,1,180,Jan 2024,5/5,Available,,,,
161 Hyundai i30 Classic 1.4 CRDI - Low Kms,"€11,950",Hyundai,i30,Classic,Base Trim,2016,"124,110 km",Diesel,Manual,Hatchback,1.4 litre,90hp,13.5 sec,5,5,Grey,Ireland,1,190,May 2024,5/5,Available,,,,
141 Opel Zafira Tourer SE 2.0 CDTI 130PS - Low Kms,"€10,950",Opel,Zafira,SE,Medium Trim,2014,"87,179 km",Diesel,Manual,MPV,2.0 litre,130hp,11.4 sec,7,5,Black,Ireland,2,200,May 2024,---,Available,,,,
Dacia Sandero Stepway Prestige Tce  Service Plan,"€24,103",Dacia,Sandero Stepway,STEPWAY Journey,Luxury Trim,2022,0 km,Petrol,Manual,Crossover,1.0 litre,91hp,12.0 sec,5,5,Black,Ireland,---,---,---,2/5,Available,,,,
2012 Ford Fiesta 1.2 Petrol New NCT 07/23,"€6,995",Ford,Fiesta,---,---,2012,"95,000 mi",Petrol,Manual,Hatchback,1.2 litre,---,---,5,5,White,Ireland,1,---,Jul 2023,---,3 Month,,,,
2017 Audi A4 Sline Estate Automatic,"€22,950",Audi,A4,S Line,Sports Trim,2017,"255,000 km",Diesel,Automatic,Estate,2.0 litre,150hp,9.5 sec,5,4,Grey,Ireland,---,200,Mar 2021,---,,,,,
"*57* 2017 Kia Sportage 1,7crdi 1","€19,945",Kia,Sportage,LX,Base Trim,2017,"74,000 mi",Diesel,Manual,SUV,1.7 litre,115hp,11.5 sec,5,5,Silver,Ireland,---,---,Feb 2024,5/5,6 Month,,,,
Hyundai Santa Fe 2.2 Crdi 4WD Exec  7 Seater,"€28,995",Hyundai,Santa Fe,Executive,Medium Trim,2017,"115,343 km",Diesel,Manual,SUV,2.2 litre,200hp,9.4 sec,7,5,Grey,Ireland,1,390,Feb 2023,5/5,Available,,,,
"Volkswagen Golf, 2008","€3,695",Volkswagen,Golf,,,2008,"236,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Silver,Ireland,8,385,May 2023,,,,,,
Ford Galaxie 500 1972,"€22,000",Ford,Galaxie 500,,,1972,"78,475 mi",Petrol,Automatic,Saloon,6.6 litre,,,,,,,,,,,,,,,
"Audi A3, 2007","€2,795",Audi,A3,,,2007,"216,000 km",Petrol,Manual,Hatchback,1.6 litre,,,5,5,Black,Ireland,4,514,Feb 2023,,,,,,
Transit Tipper,"€6,950",Ford,Transit,,,2009,"172,000 mi",Diesel,---,Tipper,2.4 litre,,,7,,,,,,,,,,,,
