Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
Volkswagen Taigo Life 1.0tsi Petrol 95bhp Brand N,"€31,830",Volkswagen,Taigo,---,---,2022,10 km,Petrol,Manual,SUV,1.0 litre,---,---,---,5,Silver,---,---,---,---,---,Available,,,,
Toyota Yaris,"€15,500",Toyota,Yaris,Y20,Medium Trim,2019,"58,420 km",Petrol,Manual,MPV,1.0 litre,72hp,15.3 sec,5,4,Grey,Ireland,1,190,Jan 2023,5/5,,,,,
"KIA Sportage, 2019 K 4 huge spec  Finance availabl","€26,950",KIA,Sportage,K4,Luxury Trim,2019,"60,000 mi",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Black,Ireland,---,270,Feb 2023,5/5,Available,,,,
2013 Volkswagen Golf 1.4 Petrol automatic TSI,"€12,690",Volkswagen,Golf,HIGHLINE,Luxury Trim,2013,"60,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,9.5 sec,5,5,White,Ireland,1,270,Jul 2024,---,Available,,,,
Volkswagen Golf TSI,"€12,250",Volkswagen,Golf,TRENDLINE,Base Trim,2013,"125,000 km",Petrol,Automatic,Hatchback,1.2 litre,85hp,11.9 sec,5,5,Red,Ireland,---,190,---,5/5,,,,,
"2013 Vw Golf, Irish Car, Nct 11/24, Comfortline,","€12,950",Volkswagen,Golf,COMFORTLINE,Medium Trim,2013,"102,000 km",Petrol,Manual,Estate,1.2 litre,105hp,10.2 sec,5,5,Blue,Ireland,2,200,Oct 2024,---,3 Month,,,,
2016 Nissan Qashqai 1.5 DCi SV + SP/NP,"€14,995",Nissan,Qashqai,SV,Medium Trim,2016,"159,750 km",Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,4,Blue,Ireland,1,180,Jul 2024,5/5,,,,,
Vauxhall Insignia 2.0 CDTI SRI Eco Flex 2012,"€6,950",Vauxhall,Insignia,---,---,2012,"6,950 km",Diesel,---,Hatchback,2.0 litre,---,---,---,---,White,Ireland,---,200,Apr 2023,---,,,,,
Audi A3 A3 SB Tfsi E 204HP S-T S Line,"€52,544",Audi,A3,---,---,2022,16 km,Hybrid,Manual,Hatchback,1.4 litre,---,---,---,4,White,Ireland,---,200,---,---,Available,---,,,
Toyota vitz,"€10,750",Toyota,Vitz,Terra,Medium Trim,2015,---,Petrol,Automatic,Hatchback,1.0 litre,68hp,12 sec,5,5,Red,Ireland,---,210,---,---,,,,,
2012 1.6 Leon,"€5,500",SEAT,Leon,REFERENCE,Luxury Trim,2012,"221,000 km",Diesel,Manual,Hatchback,1.6 litre,105hp,11.3 sec,5,4,Grey,Ireland,5,190,Jul 2022,---,,,,,
Opel Insignia 2016,"€10,950",Opel,Insignia,S,Base Trim,2016,"167,922 km",Diesel,Manual,Saloon,1.6 litre,136hp,10.5 sec,5,4,Blue,Ireland,2,180,Sep 2022,---,,,,,
Scania 124 470 Mobile Home Truck,"€23,500",Scania,Other,,,2002,700 km,Unknown,---,Unknown,---,,,,,,,,,,,,,470,,
Skoda Fabia Active 1.0mpi 60bhp 4DR,"€11,995",Skoda,Fabia,ACTIVE,Base Trim,2017,"89,298 km",Petrol,Manual,Hatchback,1.0 litre,60hp,15.7 sec,5,4,Grey,Ireland,2,190,Mar 2023,5/5,Available,,,,
Skoda Octavia Ambition 1.6tdi 90hp,No Price,Skoda,Octavia,Ambition,Medium Trim,2018,"94,364 km",Diesel,Manual,Saloon,1.6 litre,90hp,12.2 sec,5,4,White,Ireland,2,190,Apr 2022,5/5,Available,,,,
142 AUDI A4 ULTRA SAT NAV LEATHER,"€14,850",Audi,A4,SE,Sports Trim,2014,"177,415 km",Diesel,Manual,Saloon,2.0 litre,120hp,10.5 sec,5,4,Black,Ireland,1,190,Feb 2023,5/5,,,,,
2011 AUDI A5 SPORTBACK **AUTOMATIC**,"€11,999",Audi,A5,SE,Base Trim,2011,"96,000 mi",Diesel,Automatic,Hatchback,2.0 litre,143hp,9.7 sec,4,5,Grey,Ireland,3,390,May 2022,---,,,,,
Volkswagen Passat Highline 2015 1.6,"€14,650",Volkswagen,Passat,Highline,Luxury Trim,2015,"154,300 km",Diesel,Manual,Saloon,1.6 litre,120hp,10.8 sec,5,4,Red,Ireland,1,190,May 2023,5/5,,,,,
Volkswagen Polo Trendline 1.0 60hp Manual 5speed,"€11,450",Volkswagen,Polo,Trendline,Base Trim,2016,"120,701 km",Petrol,Manual,Hatchback,1.0 litre,60hp,15.5 sec,5,5,Black,Ireland,4,190,Jan 2024,---,,,,,
Volkswagen Polo Trendline 1.2 Manual (only 40 Min,"€11,000",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"105,001 km",Petrol,Manual,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Grey,Ireland,3,270,May 2023,---,,,,,
Mazda 3 2010 1.6D TAX&NCT,"€3,250",Mazda,3,,,2010,"135,000 mi",Diesel,Manual,Saloon,1.6 litre,,,5,4,Blue,Ireland,1,200,Jan 2023,,,,,,
Dacia Jogger Essential TCe 110  Service Plan Incl,"€27,253",Dacia,Jogger,Essential,Base Trim,2022,0 km,Petrol,Manual,Crossover,1.0 litre,110hp,11.2 sec,7,5,Brown,Ireland,---,---,---,---,Available,,,,
Renault master 2018 cvrt tested untill 17/5/23,"€10,000",Renault,Master,,,2018,"270,000 km",Diesel,Manual,Van,2.3 litre,,,3,,,,,,,,,,,,
Kia Proceed,"€22,000",KIA,Ceed,GT Line,Sports Trim,2020,"32,500 mi",Diesel,Manual,Estate,1.6 litre,115hp,10.2 sec,5,5,Blue,Ireland,---,190,Jan 2024,4/5,,,,,
BMW E30 M3,"€40,000",BMW,M3,,,1986,---,Petrol,Manual,Coupe,2.3 litre,,,,,,,,,,,,,,,
Citroen Berlingo 1.6 HDi 75 BHP Multispace,"€5,250",Citroen,Berlingo,,,2010,---,Diesel,Manual,MPV,1.6 litre,,,---,---,White,Ireland,2,---,Oct 2023,,Available,,,,
Hyundai Santa Fe 2013,"€8,950",Hyundai,Santa Fe,Comfort,Base Trim,2013,"198,000 mi",Diesel,Manual,SUV,2.2 litre,197hp,9.4 sec,7,4,Silver,Ireland,7,390,May 2023,5/5,,,,,
Nissan Juke 1.6 SV Premium CVT SR 4DR Auto,"€17,500",Nissan,Juke,XE,Base Trim,2018,"103,001 km",Petrol,Automatic,MPV,1.6 litre,94hp,12.0 sec,5,4,Red,Ireland,3,280,Feb 2022,5/5,,,,,
New Wacker Neuson ET16 mini excavators in stock.,£123,WACKER NEUSON,,,,,,,,,,,,,,,,,,,,,,,Excavators,
BMW 320d Msport Auto,"€16,500",BMW,3-Series,M Sport,Medium Trim,2013,"85,000 mi",Diesel,Automatic,Saloon,2.0 litre,184hp,7.6 sec,5,4,Grey,Ireland,2,200,Mar 2024,5/5,,,,,
"Ford Courier, 6 Speed Side Door. Total Price 12350","€10,040",Ford,Transit Courier,,,2018,"40,165 mi",Diesel,Manual,Panel Van,1.5 litre,,,2,,,,,,,,,,,,
Applied Airforce - High Volume Air Blow Gun,€295,Other,,,,,,,,,,,,,,,,,,,,,,,Compressor Equipment,
Mazda CX-60 4WD 2.5p Phev (327ps) Takumi Con-p Dr,"€67,140",Mazda,CX-60,---,---,2023,2 km,Hybrid,Automatic,SUV,2.5 litre,---,---,---,5,White,Ireland,---,---,---,---,Available,---,,,
Bmw gs1200,"€9,250",BMW,R 1200 GS,,,2013,50 km,,,,"1,170 cc",,,,,,,,,,,,,,,
"Dacia Sandero, 2014 1.5 DCI LAURETTE EXTRAS","€7,995",Dacia,Sandero,STEPWAY ALTERNATIVE,Base Trim,2014,"80,111 mi",Diesel,Manual,Hatchback,1.5 litre,90hp,11.8 sec,5,5,White,Ireland,---,190,Jul 2024,4/5,3 Month,,,,
Peugeot 208 1.2 Puretech 82bhp Active 3 dr,"€11,495",Peugeot,208,Active,Medium Trim,2016,"86,698 km",Petrol,Manual,Hatchback,1.2 litre,82hp,12.2 sec,5,4,Blue,Ireland,2,190,Nov 2022,5/5,Available,,,,
Ford Fiesta 1.1l 70 PS Zetec,"€18,000",Ford,Fiesta,Zetec,Base Trim,2018,"25,000 km",Petrol,Manual,Hatchback,1.1 litre,70hp,14.9 sec,5,4,Grey,Ireland,1,190,Jul 2022,5/5,Available,,,,
Renault KADJAR 1.5 Blue dCi 115 Play,"€27,845",Renault,Kadjar,Play,Base Trim,2020,"31,582 km",Diesel,Manual,SUV,1.5 litre,115hp,11.7 sec,5,5,White,Ireland,1,190,Jan 2024,5/5,Available,,,,
SUNROOF AUDI A6 BLACK EDITION ULTRA (190),"€15,995",Audi,A6,S Line,Sports Trim,2014,"203,000 mi",Diesel,Manual,Saloon,2.0 litre,190hp,8.4 sec,5,4,Black,Ireland,4,200,Oct 2022,5/5,,,,,
Audi A5 S-Line Hi-Spec *Spotless*,"€14,950",Audi,A5,S LINE,Luxury Trim,2014,"170,000 mi",Diesel,Automatic,Coupe,2.0 litre,177hp,7.8 sec,4,3,Black,Ireland,---,270,Nov 2022,---,,,,,
Nissan NOTE // You re Door TO More // HIT THE Rig,"€9,950",Nissan,Note,SV,Medium Trim,2014,"69,660 km",Petrol,Automatic,Hatchback,1.2 litre,98hp,12.2 sec,5,5,Silver,Ireland,---,200,Nov 2024,4/5,,,,,
10 Ferrari California Beautiful Spec,"€139,950",Ferrari,Other,,,2010,"48,000 km",Petrol,Automatic,Convertible,4.3 litre,,,4,2,Grey,Ireland,6,2400,Mar 2023,,,,,,
FORD TRANSIT MINIBUS PARTS AXLES SPRINGS GEARBOXES,€400,Ford,Transit,,,2012,---,Diesel,Manual,,2.2 litre,,,17,,,,,,,,,,,,
Hyundai i20 1.4 Cdri Premium,No Price,Hyundai,i20,Premium,Luxury Trim,2014,"148,582 km",Diesel,Manual,Hatchback,1.4 litre,90hp,13.5 sec,5,4,Grey,Ireland,3,180,Jan 2024,5/5,Available,,,,
09  Lacetti  Chevelet,€950,Chevrolet,Lacetti,,,2009,---,Petrol,Manual,Estate,1.6 litre,,,5,5,Red,Ireland,3,750,Feb 2017,,,,,,
Volkswagen Beetle 2016,"€17,500",Volkswagen,Beetle,BEETLE,Base Trim,2016,"87,224 km",Petrol,Manual,Hatchback,1.2 litre,105hp,10.9 sec,4,3,White,Ireland,1,270,Nov 2022,---,,,,,
12 Subaru Outback AWD 2.0 Diesel *Full Leather*,"€8,950",Subaru,Outback,SE,Base Trim,2012,"123,000 mi",Diesel,Manual,Estate,2.0 litre,150hp,9.7 sec,5,4,Silver,Ireland,2,390,Jan 2023,---,,,,,
BMW 4 Series 420d M Sport Convertible,"€29,800",BMW,4-Series,M Sport,Sports Trim,2015,"89,129 km",Diesel,Automatic,Cabriolet,2.0 litre,184hp,8.2 sec,4,2,Grey,Ireland,---,280,---,---,2 Year,,,,
SEAT Arona 1.0tsi 115hp DSG FR,"€25,950",SEAT,Arona,FR,Sports Trim,2020,"16,000 km",Petrol,Automatic,SUV,1.0 litre,115hp,10.0 sec,5,5,White,Ireland,1,200,Jun 2024,5/5,2 Year,,,,
"Ford Fiesta, 2014-   1.2 petrol- Low Mileage","€10,600",Ford,Fiesta,ZETEC,Medium Trim,2014,"67,122 km",Petrol,Manual,Hatchback,1.2 litre,60hp,16.9 sec,5,5,Red,Ireland,---,200,Sep 2024,5/5,,,,,
Low mileage NIssan Juke taxed and tested,"€9,950",Nissan,Juke,SV,Medium Trim,2014,"87,000 km",Petrol,Manual,SUV,1.6 litre,117hp,11.1 sec,5,4,Grey,Ireland,1,280,May 2024,5/5,,,,,
Mitsubishi lancer Evolution,"€25,500",Mitsubishi,Lancer,,,2005,"68,000 mi",Petrol,Manual,Saloon,2.0 litre,,,5,4,Yellow,Ireland,---,---,---,,,,,,
2010 Opel Corsa 1.2/Low mileage/Irish car,"€5,995",Opel,Corsa,,,2010,"91,000 km",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Blue,Ireland,1,280,Nov 2023,,3 Month,,,,
"Toyota Yaris Icon, 2015","€13,900",Toyota,Yaris,---,---,2015,"50,000 mi",Petrol,Manual,Hatchback,1.0 litre,---,---,5,5,Red,UK,2,---,---,---,,,,,
Dacia Jogger Comfort TCe 110,"€29,440",Dacia,Jogger,Comfort,Medium Trim,2022,50 km,Petrol,Manual,Crossover,1.0 litre,110hp,11.2 sec,7,5,Silver,Ireland,---,---,---,---,Available,,,,
Hyundai Santa Fe 2.2 Crdi 2WD Executive Plus,"€41,950",Hyundai,Santa Fe,Executive Plus,Medium Trim,2019,"60,086 km",Diesel,Manual,SUV,2.2 litre,200hp,9.4 sec,7,5,Blue,Ireland,2,390,Mar 2023,5/5,2 Year,,,,
Opel Insignia 2.0 Cdti 160 SE,"€2,950",Opel,Insignia,,,2009,---,Diesel,Manual,Hatchback,2.0 litre,,,---,5,White,Ireland,5,280,Oct 2022,,Available,,,,
Volkswagen Caddy 2013,"€5,250",Volkswagen,Caddy,,,2013,"173,908 mi",Diesel,Unknown,MPV,1.6 litre,,,2,,,,,,,,,,,,
Mercedes sl350,"€12,450",Mercedes-Benz,SL-Class,,,2003,"170,584 km",Petrol,Automatic,Convertible,3.7 litre,,,2,2,Red,Ireland,8,1809,Aug 2023,,,,,,
2013 BMW 320D M SPORT PERFORMANCE,"€15,850",BMW,3-Series,M Sport,Medium Trim,2013,"147,000 mi",Diesel,Automatic,Saloon,2.0 litre,184hp,7.6 sec,5,4,Black,Ireland,2,200,Jul 2023,5/5,,,,,
Audi Q7  available Immediately  Black Edition S/l,"€109,945",Audi,Q7,---,---,2022,"14,850 km",Hybrid,Automatic,Estate,3.0 litre,---,---,---,5,Black,UK,2,---,---,---,Available,---,,,
Hyundai Santa Fe Santa FE 2WD Comfort Commercia,"€20,250",Hyundai,Santa Fe,,,2018,"183,001 km",Diesel,Manual,Van,2.2 litre,,,---,,,,,,,,,,,,
Volkswagen Taigo Life Demo Model FOR Immediate De,"€26,950",Volkswagen,Taigo,Life,Medium Trim,2022,"15,874 km",Petrol,Manual,SUV,1.0 litre,95hp,11.1 sec,5,5,Black,Ireland,1,200,Jan 2026,---,Available,,,,
15 x 7” Forestry Wheels,€500,Ford,Escort,,,1978,---,---,---,---,---,,,,,,,,,,,,,,,
2016 PORSCHE PANAMERA E-HYBRID NCT 09/24 TAX 07/23,"€56,950",Porsche,Panamera,S,Medium Trim,2016,"150,344 km",Petrol Plug-in Hybrid,Automatic,Hatchback,3.0 litre,416hp,5.5 sec,4,5,White,Ireland,1,170,Sep 2024,---,3 Month,---,,,---
2017 BMW 5 SERIES SE 520D NCT 09/24 TAX 02/23,"€26,499",BMW,5-Series,SE,Base Trim,2017,"115,399 km",Diesel,Automatic,Saloon,2.0 litre,190hp,7.5 sec,5,4,Blue,Ireland,1,190,Sep 2024,---,3 Month,,,,
2016 BMW X3 X-LINE 2.0D *IRISH CAR* NCT 09/24,"€23,900",BMW,X3,SE,Base Trim,2016,"209,397 km",Diesel,Automatic,SUV,2.0 litre,190hp,8.1 sec,5,4,Brown,Ireland,2,280,Sep 2024,5/5,3 Month,,,,
Renault Clio 1.2 16V 75 Dynamique NAV,"€11,900",Renault,Clio,DYNAMIQUE NAV,Medium Trim,2016,"55,200 km",Petrol,Manual,Hatchback,1.1 litre,75hp,14.5 sec,5,4,Silver,Ireland,2,270,Jul 2024,---,Available,,,,
Audi A3 1.6tdi 116 SE,No Price,Audi,A3,SE,Luxury Trim,2018,"97,931 km",Diesel,Manual,Hatchback,1.6 litre,116hp,10.4 sec,5,5,Grey,Ireland,2,190,Jul 2022,5/5,Available,,,,
2016 Peugeot 2008 AUTOMATIC 2 Petrol,"€10,950",Peugeot,2008,Active,Medium Trim,2016,"94,944 km",Petrol,Automatic,SUV,1.2 litre,82hp,15.4 sec,5,4,Grey,Ireland,---,190,Feb 2024,5/5,,,,,
2010 Opel Astra SC 1.7 Diesel Manual *NCT 12/22*,"€2,750",Opel,Astra,,,2010,"207,000 mi",Diesel,Manual,Hatchback,1.7 litre,,,5,5,Silver,Ireland,3,270,Dec 2022,,,,,,
BMW M2 M2 Competition,"€74,995",BMW,M2,M2 Competition,Sports Trim,2020,"15,921 km",Petrol,Manual,Coupe,3.0 litre,411hp,4.4 sec,4,2,Blue,Ireland,---,2350,---,---,2 Year,,,,
Toyota Yaris Hybrid Luxury MC 4DR Auto,"€14,888",Toyota,Yaris,Luxury,Luxury Trim,2015,"104,002 km",Hybrid,Automatic,Hatchback,1.5 litre,100hp,11.8 sec,5,4,Red,Ireland,1,170,Jan 2024,5/5,,---,,,
2012 Peugeot RCZ GT 2.0 HDi 163BHP (NCT 09/23),"€9,500",Peugeot,RCZ,SPORT,Luxury Trim,2012,"77,000 mi",Diesel,Manual,Coupe,2.0 litre,163hp,8.2 sec,4,2,Grey,Ireland,1,280,Sep 2023,---,,,,,
Ford Ranger Wildtrak 3.2 TDCI 4WD 200HP Auto  pri,"€34,110",Ford,Ranger,,,2019,"113,200 km",Diesel,Automatic,Van,3.2 litre,,,---,,,,,,,,,,,,
Suzuki Splash 1.0 GL,"€8,495",Suzuki,Splash,GL,Base Trim,2013,"48,000 km",Petrol,Manual,Hatchback,1.0 litre,65hp,14.7 sec,5,4,Red,Ireland,1,200,May 2023,---,Available,,,,
*Hyundai ix35 - Low mileage - High Spec - NCT*,"€12,000",Hyundai,ix35,Comfort,Base Trim,2014,"62,000 mi",Diesel,Manual,SUV,1.7 litre,115hp,12.4 sec,5,4,Silver,Ireland,2,280,Jun 2024,5/5,,,,,
VW Golf GT 2.0 TDI-GTD body kit,"€5,999",Volkswagen,Golf,,,2010,"163,000 mi",Diesel,Manual,Hatchback,2.0 litre,,,5,5,Black,Ireland,3,270,Mar 2023,,,,,,
2011 VW Passat CC GT (Full Leather / NO NCT),"€4,900",Volkswagen,CC,BLUEMOTION,Base Trim,2011,"192,000 mi",Diesel,Manual,Coupe,2.0 litre,140hp,9.8 sec,5,---,Black,Ireland,---,270,May 2022,---,,,,,
Audi A6 2.0 TDI S Line Ultra 190PS 4 4DR Auto / F,"€21,949",Audi,A6,S Line,Sports Trim,2015,"119,621 km",Diesel,Automatic,Saloon,2.0 litre,190hp,8.4 sec,5,4,Black,Ireland,1,190,Jan 2024,5/5,2 Year,,,,
"Volkswagen Tiguan, 2.0 TDI Sport","€15,950",Volkswagen,Tiguan,TREND & FUN,Base Trim,2014,"80,000 mi",Diesel,Manual,SUV,2.0 litre,110hp,11.9 sec,5,5,Black,Ireland,2,280,Mar 2024,---,Available,,,,
Dacia Duster Prestige Blue Dci  Service Plan Incl,"€30,203",Dacia,Duster,Prestige,Medium Trim,2022,0 km,Diesel,Manual,SUV,1.5 litre,115hp,10.5 sec,5,5,Red,Ireland,---,190,---,3/5,Available,,,,
Nissan X-Trail 2012 DSL XE ASP 4DR,"€6,730",Nissan,X-Trail,XE,Base Trim,2012,"202,700 mi",Diesel,Manual,SUV,2.0 litre,150hp,10.9 sec,5,4,Black,Ireland,2,570,Jan 2023,---,,,,,
Nissan Micra,"€1,200",Nissan,Micra,,,2003,"48,000 mi",Petrol,Manual,Hatchback,1.0 litre,,,5,5,Blue,Ireland,1,199,Jan 2023,,,,,,
VW Transporter TL 2.0TDi 150hp TRADE SALE,"€14,227",Volkswagen,Transporter,,,2017,"194,000 km",Diesel,Manual,Van,2.0 litre,,,3,,,,,,,,,,,,
2010 Nissan Fuga Hybrid 359HP,"€19,999",Nissan,Skyline,,,2010,"117,000 km",Petrol Hybrid,Automatic,Saloon,3.5 litre,,,5,5,Silver,Ireland,---,270,Jan 2023,,,,,,
VW Golf,"€13,450",Volkswagen,Golf,Trendline,Base Trim,2016,"140,000 mi",Diesel,Manual,Hatchback,1.6 litre,110hp,10.7 sec,5,5,Grey,Ireland,1,180,Jun 2024,---,,,,,
141 Peugeot partner 3 seater,"€5,450",Peugeot,Partner,,,2014,"280,000 km",Diesel,Manual,MPV,1.6 litre,,,2,,,,,,,,,,,,
Renault Megane,"€4,950",Renault,Megane,DYNAMIQUE,Medium Trim,2013,"233,000 km",Diesel,Manual,Hatchback,1.5 litre,110hp,10.8 sec,5,5,White,Ireland,---,180,Apr 2023,---,,,,,
"Suzuki Vitara, 2021","€23,950",Suzuki,Vitara,SZ4,Base Trim,2021,"19,000 km",Petrol,Manual,SUV,1.4 litre,129hp,9.5 sec,5,5,White,Ireland,1,200,Jan 2025,---,12 Month,,,,
Renault Clio Iconic TCe 100 My19,"€18,000",Renault,Clio,Iconic,Medium Trim,2020,"37,000 km",Petrol,Manual,Hatchback,1.0 litre,100hp,11.8 sec,5,5,Red,Ireland,1,180,Jan 2024,5/5,Available,,,,
192 Renault Master Lowloader vans,€580,Renault,Master,,,2019,"100,000 mi",---,---,Luton Van,---,,,---,,,,,,,,,,,,
Yamaha YZ 250,"€3,250",YAMAHA,---,,,2007,---,,,,---,,,,,,,,,,,,,,,
Renault Clio Dynamique 1.0 75bhp,"€19,800",Renault,Clio,Iconic,Medium Trim,2021,"26,529 km",Petrol,Manual,Hatchback,1.0 litre,100hp,11.8 sec,5,5,Blue,Ireland,1,190,---,5/5,Available,,,,
SEAT Ateca 2.0tdi 115hp SE,No Price,SEAT,Ateca,SE,Base Trim,2022,---,Diesel,Manual,SUV,2.0 litre,115hp,10.9 sec,5,5,Grey,Ireland,1,---,---,5/5,,,,,
Hyundai i40 132 NCT for 2024,"€6,700",Hyundai,i40,Comfort,Base Trim,2013,130 mi,Diesel,Manual,Saloon,1.7 litre,116hp,12.9 sec,5,4,Silver,Ireland,5,200,Feb 2024,5/5,,,,,
IVECO RADIATORS IN STOCK,€1,.,.,,,2022,---,---,---,---,---,,,,,,,,,,,,,---,,
Toyota Camry Hybrid,No Price,Toyota,Camry,Platinum Edition,Luxury Trim,2022,---,Hybrid,Automatic,Saloon,2.487 litre,218hp,8.3 sec,5,4,Black,Ireland,---,200,---,---,Available,1.6 kWh,,,
Jaguar XF 2016 2.0D 180bhp 8 Speed Automatic,"€19,050",Jaguar,XF,Prestige,Medium Trim,2016,"97,124 mi",Diesel,Manual,Saloon,2.0 litre,180hp,8.0 sec,5,4,White,Ireland,---,200,Aug 2024,5/5,,,,,
Renault Kangoo 2011,"€3,500",Renault,Kangoo,,,2011,"195,000 km",Diesel,Manual,MPV,1.5 litre,,,2,,,,,,,,,,,,
Toyota rav4 181,"€29,000",Toyota,RAV4,Luna,Medium Trim,2018,---,Petrol Hybrid,Automatic,SUV,2.5 litre,197hp,8.3 sec,5,4,Black,Ireland,1,200,Mar 2024,5/5,,---,,,
2016 BMW 318 SPORT,"€14,950",BMW,3-Series,Sport,Medium Trim,2016,"100,000 mi",Diesel,Manual,Saloon,2.0 litre,150hp,8.6 sec,5,4,Brown,Ireland,1,190,Feb 2023,5/5,,,,,
DEPOSIT TAKEN,"€4,950",Opel,Astra,---,---,2013,"147,000 mi",Petrol,Manual,Saloon,1.4 litre,100hp,14.2 sec,5,4,Silver,Ireland,2,270,Jul 2023,5/5,,,,,
"2011 Audi A3 automatic, Nctd and taxed, low miles","€9,950",Audi,A3,---,Base Trim,2011,"98,000 km",Petrol,Automatic,Hatchback,1.4 litre,125hp,9.5 sec,5,5,White,Ireland,---,200,Aug 2023,---,,,,,
Volkswagen Touareg 2007 2.5 commercial,"€3,400",Volkswagen,Touareg,,,2007,---,Diesel,Manual,SUV,2.5 litre,,,2,,,,,,,,,,,,
"19 NISSAN NAVARA 2,3DCI TEKNA AUTO NEW MODEL AUTO","£23,995",Nissan,Navara,,,2019,"16,550 mi",Diesel,Automatic,Pick Up,2.3 litre,,,5,,,,,,,,,,,,
Volkswagen Polo 2006,"€1,500",Volkswagen,Polo,,,2006,"231,372 km",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Silver,Ireland,6,330,---,,,,,,
"Nissan Juke, 2012  ONLY 80KLMS.",No Price,Nissan,Juke,XE,Base Trim,2012,"80,000 km",Petrol,Manual,SUV,1.6 litre,94hp,12.0 sec,5,4,Black,Ireland,2,280,Jul 2023,5/5,3 Month,,,,
Ford Kuga 2.0 Tdci Titanium 2WD 150BHP 5DR ( 171,"€19,950",Ford,Kuga,---,---,2017,"190,039 km",Diesel,Manual,MPV,2.0 litre,---,---,---,5,Blue,UK,1,---,---,---,Available,,,,
Kia Sportage 1.6 Crdi Mild Hybrid K3,"€31,700",KIA,Sportage,K3,Medium Trim,2020,"43,439 km",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Grey,Ireland,1,190,Jul 2024,5/5,Available,,,,
Volkswagen Passat 2010,"€4,900",Volkswagen,Passat,,,2010,212 km,Diesel,Manual,Saloon,1.6 litre,,,5,5,Black,Ireland,1,200,---,,,,,,
Ford Transit 2011,"€4,000",Ford,Transit Connect,---,---,2011,"120,000 mi",Diesel,Manual,Van,1.8 litre,---,---,2,5,White,Ireland,5,333,---,---,,,,,
Tyre Changer and Diesel Compressor.,"€2,500",Mercedes-Benz,Sprinter,,,2005,1 km,Diesel,Unknown,Van,2.1 litre,,,3,,,,,,,,,,,,
Audi A4 2.0 TDI 35 Sport 150BHP Auto ( 191 REG ),"€30,850",Audi,A4,---,---,2019,"151,376 km",Diesel,Automatic,Saloon,2.0 litre,---,---,---,4,Black,Other,1,---,---,---,Available,,,,
Opel Astra 1.6 Cdti Design Ecoflex 110 BHP ( 172,"€13,600",Opel,Astra,---,---,2017,"132,276 km",Diesel,Manual,Hatchback,1.6 litre,---,---,---,5,Black,Other,1,---,---,---,Available,,,,
BMW X5 2.0 D Sdrive 25D M Sport Auto 231 BHP 5 Se,"€49,950",BMW,X5,M Sport,Sports Trim,2017,"123,226 km",Diesel,Automatic,Estate,2.0 litre,231hp,7.7 sec,5,5,Black,Ireland,1,390,Mar 2023,---,Available,,,,
Ford EcoSport 1.5 Tdci 95 BHP Titanium ( 172 REG ),"€15,950",Ford,EcoSport,---,---,2017,"169,093 km",Diesel,Manual,Hatchback,1.5 litre,---,---,---,5,Black,Other,1,---,---,---,Available,,,,
Opel Insignia 1.6 Cdti Ecoflex Tech Line S/S 136,"€12,950",Opel,Insignia,---,---,2016,"169,781 km",Diesel,Manual,Hatchback,1.6 litre,---,---,---,5,White,Other,1,---,---,---,Available,,,,
Alfa Romeo Giulia 2.2 Jtdm-2 160BHP Super Saloon,"€29,950",Alfa Romeo,Giulia,---,---,2019,"138,112 km",Diesel,Automatic,Saloon,2.2 litre,---,---,---,4,Blue,Other,1,---,---,---,Available,,,,
Toyota C-HR 1.8 Icon CVT 5DR Auto ( 181 REG ),"€25,600",Toyota,C-HR,---,---,2018,"145,830 km",Hybrid,Automatic,Hatchback,1.8 litre,---,---,---,5,Silver,Other,1,---,---,---,Available,---,,,
Volkswagen Passat 2.0 TDI SE Business DSG 150 BHP,"€19,950",Volkswagen,Passat,---,---,2017,"191,635 km",Diesel,Automatic,Estate,2.0 litre,---,---,---,5,Blue,Other,1,---,---,---,Available,,,,
Toyota Rav4 2.0 D-4d Icon TSS 4X2 NAV 5DR ( 171 R,"€23,600",Toyota,RAV4,---,---,2017,"191,611 km",Diesel,Manual,Estate,2.0 litre,---,---,---,5,Black,Other,2,---,---,---,Available,,,,
Ford Fiesta 1.5 Tdci Zetec 85 BHP ( 181 REG ),"€15,850",Ford,Fiesta,---,---,2018,"111,471 km",Diesel,Manual,Hatchback,1.5 litre,---,---,---,5,White,Other,1,---,---,---,Available,,,,
